entete;17 mars 2008;00:06;Elections municipales 2008;2;16.03.2008;754;5
commune;01;GAUDIN-MUSELIER;100 509;50,42;1
commune;02;GUERINI;95 183;47,75;0
commune;03;FN;3 642;1,83;0
commune_tot;322 453;204 825;63,52;199 334;61,82;5 491;2,68
liste_bv;detail_bv;0755;candidat;02;ROATTA Jean;312;57,04;1;0756;candidat;02;ROATTA Jean;361;52,55;1
liste_bv;total_bv;864;564;65,28;547;63,31;17;3,01;1 044;703;67,34;687;65,80;16;2,28
liste_bv;detail_bv;0757;candidat;01;MENNUCCI Patrick;335;45,21;0;0759;candidat;01;MENNUCCI Patrick;336;47,66;0
liste_bv;detail_bv;0757;candidat;02;ROATTA Jean;406;54,79;1;0759;candidat;02;ROATTA Jean;369;52,34;1
liste_bv;total_bv;1 132;773;68,29;741;65,46;32;4,14;1 141;726;63,63;705;61,79;21;2,89
liste_bv;detail_bv;0760;candidat;01;MENNUCCI Patrick;345;48,87;0;0761;candidat;01;MENNUCCI Patrick;230;49,78;0
liste_bv;detail_bv;0760;candidat;02;ROATTA Jean;361;51,13;1;0761;candidat;02;ROATTA Jean;232;50,22;1
liste_bv;total_bv;1 112;727;65,38;706;63,49;21;2,89;727;487;66,99;462;63,55;25;5,13
liste_bv;detail_bv;0762;candidat;01;MENNUCCI Patrick;314;51,39;1;0763;candidat;01;MENNUCCI Patrick;292;48,18;0
liste_bv;detail_bv;0762;candidat;02;ROATTA Jean;297;48,61;0;0763;candidat;02;ROATTA Jean;314;51,82;1
liste_bv;total_bv;886;623;70,32;611;68,96;12;1,93;873;628;71,94;606;69,42;22;3,50
liste_bv;detail_bv;0764;candidat;01;MENNUCCI Patrick;357;50,35;1;0766;candidat;01;MENNUCCI Patrick;379;51,85;1
liste_bv;detail_bv;0764;candidat;02;ROATTA Jean;352;49,65;0;0766;candidat;02;ROATTA Jean;352;48,15;0
liste_bv;total_bv;1 060;733;69,15;709;66,89;24;3,27;1 094;760;69,47;731;66,82;29;3,82
detail;rupture_bv;;;;;;;
liste_bv;detail_bv;0767;candidat;01;MENNUCCI Patrick;245;37,75;0;0768;candidat;01;MENNUCCI Patrick;181;36,64;0
liste_bv;detail_bv;0767;candidat;02;ROATTA Jean;404;62,25;1;0768;candidat;02;ROATTA Jean;313;63,36;1
liste_bv;total_bv;942;668;70,91;649;68,90;19;2,84;712;502;70,51;494;69,38;8;1,59
liste_bv;detail_bv;0769;candidat;01;MENNUCCI Patrick;216;42,44;0;0770;candidat;01;MENNUCCI Patrick;224;36,07;0
liste_bv;detail_bv;0769;candidat;02;ROATTA Jean;293;57,56;1;0770;candidat;02;ROATTA Jean;397;63,93;1
liste_bv;total_bv;754;531;70,42;509;67,51;22;4,14;882;632;71,66;621;70,41;11;1,74
liste_bv;detail_bv;0771;candidat;01;MENNUCCI Patrick;191;36,11;0;0772;candidat;01;MENNUCCI Patrick;257;35,21;0
liste_bv;detail_bv;0771;candidat;02;ROATTA Jean;338;63,89;1;0772;candidat;02;ROATTA Jean;473;64,79;1
liste_bv;total_bv;744;541;72,72;529;71,10;12;2,22;1 064;754;70,86;730;68,61;24;3,18
liste_bv;detail_bv;0773;candidat;01;MENNUCCI Patrick;217;27,93;0;0774;candidat;01;MENNUCCI Patrick;301;31,95;0
liste_bv;detail_bv;0773;candidat;02;ROATTA Jean;560;72,07;1;0774;candidat;02;ROATTA Jean;641;68,05;1
liste_bv;total_bv;1 101;794;72,12;777;70,57;17;2,14;1 309;966;73,80;942;71,96;24;2,48
liste_bv;detail_bv;0775;candidat;01;MENNUCCI Patrick;160;44,69;0;;;;;;;
liste_bv;detail_bv;0775;candidat;02;ROATTA Jean;198;55,31;1;;;;;;;
liste_bv;total_bv;548;374;68,25;358;65,33;16;4,28;;;;;;;
detail;SECTEUR;03;candidat;01;GUERINI Jean-Noël;16 776;48,57;0
detail;SECTEUR;03;candidat;02;MUSELIER Renaud;17 761;51,43;1
total;53 957;35 590;65,96;34 537;64,01;1 053;2,96
liste_bv;detail_bv;0401;candidat;01;GUERINI Jean-Noël;363;51,78;1;0402;candidat;01;GUERINI Jean-Noël;391;50,85;1
liste_bv;detail_bv;0401;candidat;02;MUSELIER Renaud;338;48,22;0;0402;candidat;02;MUSELIER Renaud;378;49,15;0
liste_bv;total_bv;1 095;731;66,76;701;64,02;30;4,10;1 222;792;64,81;769;62,93;23;2,90
liste_bv;detail_bv;0404;candidat;01;GUERINI Jean-Noël;356;46,41;0;0406;candidat;01;GUERINI Jean-Noël;367;45,03;0
liste_bv;detail_bv;0404;candidat;02;MUSELIER Renaud;411;53,59;1;0406;candidat;02;MUSELIER Renaud;448;54,97;1
liste_bv;total_bv;1 175;796;67,74;767;65,28;29;3,64;1 297;840;64,76;815;62,84;25;2,98
liste_bv;detail_bv;0407;candidat;01;GUERINI Jean-Noël;302;45,07;0;0408;candidat;01;GUERINI Jean-Noël;221;52,25;1
liste_bv;detail_bv;0407;candidat;02;MUSELIER Renaud;368;54,93;1;0408;candidat;02;MUSELIER Renaud;202;47,75;0
liste_bv;total_bv;1 154;686;59,45;670;58,06;16;2,33;722;439;60,80;423;58,59;16;3,64
liste_bv;detail_bv;0409;candidat;01;GUERINI Jean-Noël;253;46,59;0;0410;candidat;01;GUERINI Jean-Noël;231;52,86;1
liste_bv;detail_bv;0409;candidat;02;MUSELIER Renaud;290;53,41;1;0410;candidat;02;MUSELIER Renaud;206;47,14;0
liste_bv;total_bv;865;557;64,39;543;62,77;14;2,51;786;459;58,40;437;55,60;22;4,79
liste_bv;detail_bv;0421;candidat;01;GUERINI Jean-Noël;441;51,46;1;0422;candidat;01;GUERINI Jean-Noël;351;46,00;0
liste_bv;detail_bv;0421;candidat;02;MUSELIER Renaud;416;48,54;0;0422;candidat;02;MUSELIER Renaud;412;54,00;1
liste_bv;total_bv;1 380;877;63,55;857;62,10;20;2,28;1 239;785;63,36;763;61,58;22;2,80
liste_bv;detail_bv;0424;candidat;01;GUERINI Jean-Noël;252;41,45;0;0425;candidat;01;GUERINI Jean-Noël;230;40,56;0
liste_bv;detail_bv;0424;candidat;02;MUSELIER Renaud;356;58,55;1;0425;candidat;02;MUSELIER Renaud;337;59,44;1
liste_bv;total_bv;921;622;67,54;608;66,02;14;2,25;868;583;67,17;567;65,32;16;2,74
liste_bv;detail_bv;0426;candidat;01;GUERINI Jean-Noël;237;49,58;0;0427;candidat;01;GUERINI Jean-Noël;181;50,70;1
liste_bv;detail_bv;0426;candidat;02;MUSELIER Renaud;241;50,42;1;0427;candidat;02;MUSELIER Renaud;176;49,30;0
liste_bv;total_bv;789;504;63,88;478;60,58;26;5,16;660;369;55,91;357;54,09;12;3,25
liste_bv;detail_bv;0428;candidat;01;GUERINI Jean-Noël;410;50,43;1;0441;candidat;01;GUERINI Jean-Noël;212;45,59;0
liste_bv;detail_bv;0428;candidat;02;MUSELIER Renaud;403;49,57;0;0441;candidat;02;MUSELIER Renaud;253;54,41;1
liste_bv;total_bv;1 347;853;63,33;813;60,36;40;4,69;768;485;63,15;465;60,55;20;4,12
liste_bv;detail_bv;0442;candidat;01;GUERINI Jean-Noël;243;46,82;0;0443;candidat;01;GUERINI Jean-Noël;276;46,00;0
liste_bv;detail_bv;0442;candidat;02;MUSELIER Renaud;276;53,18;1;0443;candidat;02;MUSELIER Renaud;324;54,00;1
liste_bv;total_bv;778;541;69,54;519;66,71;22;4,07;906;629;69,43;600;66,23;29;4,61
detail;rupture_bv;;;;;;;
liste_bv;detail_bv;0451;candidat;01;GUERINI Jean-Noël;362;54,19;1;0452;candidat;01;GUERINI Jean-Noël;313;45,69;0
liste_bv;detail_bv;0451;candidat;02;MUSELIER Renaud;306;45,81;0;0452;candidat;02;MUSELIER Renaud;372;54,31;1
liste_bv;total_bv;1 010;686;67,92;668;66,14;18;2,62;1 034;701;67,79;685;66,25;16;2,28
