"NOM_ELECTION","NUMERO_TOUR","DATE_ELECTION","NOM_COLLECTIVITE","ID_COLLECTIVITE","NUMERO_BUREAU_VOTE","ARRONDISSEMENT","SECTEUR","CIRCONSCRIPTION","CANTON","NOM_BUREAU_VOTE","ADRESSE","NB_INSCRIT_THEORIQUE","NB_INSCRITS_DEPOUILLES","VOTANTS","NB_BLANCS","NB_NULS","NB_EXPRIMES","NB_PROCURATIONS","NB_CANDIDATS","NOM_CANDIDAT_01","NB_VOIX_CANDIDAT_01","NOM_CANDIDAT_02","NB_VOIX_CANDIDAT_02","NOM_CANDIDAT_03","NB_VOIX_CANDIDAT_03","NOM_CANDIDAT_04","NB_VOIX_CANDIDAT_04","NOM_CANDIDAT_05","NB_VOIX_CANDIDAT_05","NOM_CANDIDAT_06","NB_VOIX_CANDIDAT_06","NOM_CANDIDAT_07","NB_VOIX_CANDIDAT_07","NOM_CANDIDAT_08","NB_VOIX_CANDIDAT_08","NOM_CANDIDAT_09","NB_VOIX_CANDIDAT_09","NOM_CANDIDAT_10","NB_VOIX_CANDIDAT_10","NOM_CANDIDAT_11","NB_VOIX_CANDIDAT_11","NOM_CANDIDAT_12","NB_VOIX_CANDIDAT_12","NOM_CANDIDAT_13","NB_VOIX_CANDIDAT_13","NOM_CANDIDAT_14","NB_VOIX_CANDIDAT_14","NOM_CANDIDAT_15","NB_VOIX_CANDIDAT_15","NOM_CANDIDAT_16","NB_VOIX_CANDIDAT_16","NOM_CANDIDAT_17","NB_VOIX_CANDIDAT_17","NOM_CANDIDAT_18","NB_VOIX_CANDIDAT_18","NOM_CANDIDAT_19","NB_VOIX_CANDIDAT_19","NOM_CANDIDAT_20","NB_VOIX_CANDIDAT_20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,142,1,1,4,"12 - MARSEILLE 1","E ELEM KORSEC","ENTREE 3 RUE FRANCOIS BAZIN",962,953,255,6,2,247,4,8,"DEVIGNE Arnaud",16,"COMAS Laurent",2,"BARLES Sébastien",22,"CAMARD Sophie",80,"PARODI Clémence",12,"BACCINO René",16,"POITEVIN Gaëtan",48,"BERNASCONI Sabine",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,181,1,1,4,"12 - MARSEILLE 1","E ELEM KORSEC","ENTREE 3 RUE FRANCOIS BAZIN",1299,1270,476,6,2,468,54,8,"DEVIGNE Arnaud",21,"COMAS Laurent",4,"BARLES Sébastien",54,"CAMARD Sophie",267,"PARODI Clémence",20,"BACCINO René",13,"POITEVIN Gaëtan",25,"BERNASCONI Sabine",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,182,1,1,4,"12 - MARSEILLE 1","E ELEM ABEILLES ANNEXE","40 RUE DES ABEILLES",881,860,431,3,3,425,32,8,"DEVIGNE Arnaud",12,"COMAS Laurent",1,"BARLES Sébastien",45,"CAMARD Sophie",270,"PARODI Clémence",26,"BACCINO René",21,"POITEVIN Gaëtan",16,"BERNASCONI Sabine",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,183,1,1,4,"12 - MARSEILLE 1","E ELEM ABEILLES ANNEXE","40 RUE DES ABEILLES",1259,1230,556,3,12,541,23,8,"DEVIGNE Arnaud",18,"COMAS Laurent",4,"BARLES Sébastien",46,"CAMARD Sophie",338,"PARODI Clémence",49,"BACCINO René",25,"POITEVIN Gaëtan",20,"BERNASCONI Sabine",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,184,1,1,4,"12 - MARSEILLE 1","E ELEM ABEILLES","ENTREE 11 RUE DES ABEILLES",1341,1313,557,3,4,550,13,8,"DEVIGNE Arnaud",20,"COMAS Laurent",1,"BARLES Sébastien",69,"CAMARD Sophie",363,"PARODI Clémence",26,"BACCINO René",15,"POITEVIN Gaëtan",15,"BERNASCONI Sabine",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,186,1,1,4,"12 - MARSEILLE 1","E ELEM ABEILLES","ENTREE 11 RUE DES ABEILLES",1420,1401,587,3,7,577,69,8,"DEVIGNE Arnaud",40,"COMAS Laurent",0,"BARLES Sébastien",74,"CAMARD Sophie",329,"PARODI Clémence",38,"BACCINO René",28,"POITEVIN Gaëtan",13,"BERNASCONI Sabine",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,187,1,1,4,"12 - MARSEILLE 1","E MAT CONSOLAT","160 RUE CONSOLAT",1361,1350,612,7,6,599,7,8,"DEVIGNE Arnaud",29,"COMAS Laurent",1,"BARLES Sébastien",77,"CAMARD Sophie",323,"PARODI Clémence",56,"BACCINO René",39,"POITEVIN Gaëtan",16,"BERNASCONI Sabine",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,188,1,1,4,"12 - MARSEILLE 1","E ELEM LEVERRIER","8 PCE LEVERRIER",1386,1337,519,3,7,509,32,8,"DEVIGNE Arnaud",30,"COMAS Laurent",2,"BARLES Sébastien",69,"CAMARD Sophie",215,"PARODI Clémence",65,"BACCINO René",39,"POITEVIN Gaëtan",20,"BERNASCONI Sabine",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,201,2,2,4,"13 - MARSEILLE 2","SALLE BARGEMON  HOTEL DE VILLE","PCE VILLENEUVE BARGEMON",784,765,352,2,7,343,15,9,"MARTI Jeanne",45,"SAID SOILIHI Maliza",26,"BONNET Isabelle",4,"BIAGGI Solange",81,"LHOTE Alain",12,"DJAMBAÉ Nouriati",33,"NARDUCCI Lisette",53,"PAYAN Benoît",86,"DELIGNY Yannick",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,202,2,2,4,"13 - MARSEILLE 2","CENTRE D'ANIMATION ET LOISIRS","13 RUE DES MARTEGALES",626,621,298,2,5,291,12,9,"MARTI Jeanne",40,"SAID SOILIHI Maliza",20,"BONNET Isabelle",1,"BIAGGI Solange",70,"LHOTE Alain",4,"DJAMBAÉ Nouriati",15,"NARDUCCI Lisette",54,"PAYAN Benoît",84,"DELIGNY Yannick",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,204,2,2,4,"13 - MARSEILLE 2","HOTEL DE VILLE PAVILLON DAVIEL","PCE DU MAZEAU",739,738,318,2,7,309,10,9,"MARTI Jeanne",35,"SAID SOILIHI Maliza",11,"BONNET Isabelle",3,"BIAGGI Solange",36,"LHOTE Alain",13,"DJAMBAÉ Nouriati",33,"NARDUCCI Lisette",68,"PAYAN Benoît",106,"DELIGNY Yannick",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
