SECTEUR,G_med,G_lo,G_hi,G_lo25,G_hi75,RN_med,RN_lo,RN_hi,RN_lo25,RN_hi75,C_med,C_lo,C_hi,D_med,D_lo,D_hi
1,69.66979546014636,65.49510937785014,73.8301292404582,67.95404877044197,71.41213706498908,11.008847048559076,6.751077719944821,15.214225291715609,9.259105800948138,12.738776539364014,6.028256312270122,1.924628566392861,10.276851964578105,4.990260124247797,0.5023631410928583,9.328311671083519
2,50.47371509092524,46.324356711621725,54.5957169155431,48.75812746982668,52.21206087707363,24.904430235268045,20.697534252821427,29.07923147046108,23.16915628762056,26.61447536828107,8.345950337645117,4.242670474337673,12.59681672019875,9.282175091936544,5.003855689238567,13.47487702358616
3,40.30099741895093,36.08729953074805,44.47371588665923,38.57258416301838,42.03638528532623,20.632240579862284,16.462916219456336,24.701073017667248,18.864287433769107,22.25241587197613,16.987200408168803,12.883305221036215,21.252041119431393,13.530365950964026,9.344113997631858,17.62014062791858
4,28.804389265667204,24.570209213850646,32.97402645863078,27.076365675553582,30.546918729292557,23.98192962035205,19.724937301630703,28.17754574214218,22.17751962909132,25.676486725006505,21.550698662235348,17.419800396539028,25.81062418148183,21.53995601536841,17.275163930439508,25.83120114413889
5,4.264487012295466,0.1059969937943315,8.419980930512237,2.56580582833754,6.011013464921264,49.216752666781616,45.001055943151236,53.30502406886925,47.43913739612927,50.8586334449183,29.74340989442759,25.642514189225942,34.009230880992924,12.235447718762567,8.034351665187764,16.484123385120704
6,28.337792860198924,24.18606812281164,32.48754039835281,26.636163330990154,30.068481748681016,38.04830008524716,33.82282573900202,42.16051501361282,36.2680484847761,39.70910493120349,17.469061940787626,13.360076761582247,21.726918126287472,13.827454343440387,9.447028632219817,18.32870597343184
7,46.26885429645667,42.14625908956518,50.52261645762912,44.56821988270233,48.02138612895693,35.10550723770314,30.91518915208936,39.24084110034382,33.37992857551864,36.79913057565474,3.9811118036855264,0,8.237883955399173,12.705018635922023,8.550521050784628,16.77699989257494
8,61.047461794581274,56.89093933575409,65.32406577789254,59.334810788989,62.81985718314512,25.611041875943243,21.351511616061988,29.821057807319626,23.85333349018641,27.343664480912768,2.6191960143301904,0,6.879104418958332,6.508165794351178,2.2877986454332375,10.672771352337834
